country_code,ID,family_importance,friends_importance,leisure_importance,work_importance,freedom,life_satisfaction,financial_satisfaction,religiousity,political_scale,sex,birthyear,age,marital_status,employment
CAN,124075215,1.0,1.0,2.0,4.0,8.0,9.0,9.0,Not a religious person,5.0,Female,1955.0,65.0,Married,Retired/pensioned
CAN,124075217,1.0,1.0,3.0,4.0,5.0,8.0,8.0,An atheist,1.0,Male,1968.0,52.0,Married,Self employed
CAN,124075218,1.0,2.0,2.0,1.0,7.0,8.0,8.0,A religious person,8.0,Male,1964.0,56.0,Single,Self employed
CAN,124075219,2.0,1.0,1.0,3.0,8.0,8.0,8.0,Not a religious person,8.0,Male,1958.0,62.0,Married,Retired/pensioned
CAN,124075220,1.0,1.0,1.0,3.0,7.0,6.0,8.0,A religious person,3.0,Male,1997.0,23.0,Single,Student
CAN,124075221,1.0,1.0,1.0,3.0,7.0,6.0,7.0,An atheist,7.0,Female,1965.0,55.0,Married,Full time
CAN,124075222,2.0,2.0,2.0,1.0,5.0,3.0,2.0,A religious person,5.0,Female,1983.0,37.0,Single,Unemployed
CAN,124075223,1.0,2.0,2.0,2.0,8.0,8.0,8.0,Not a religious person,3.0,Male,1950.0,70.0,Married,Retired/pensioned
CAN,124075225,1.0,2.0,1.0,1.0,6.0,8.0,8.0,A religious person,5.0,Male,1968.0,52.0,Married,Full time
CAN,124075227,1.0,2.0,2.0,1.0,5.0,4.0,4.0,A religious person,5.0,Male,1966.0,53.0,Married,Unemployed
CAN,124075229,1.0,2.0,1.0,3.0,9.0,8.0,7.0,Not a religious person,6.0,Female,1981.0,38.0,Living together as married,Full time
CAN,124075230,1.0,2.0,1.0,1.0,7.0,5.0,3.0,Not a religious person,6.0,Male,1960.0,60.0,Living together as married,Self employed
CAN,124075231,2.0,1.0,1.0,2.0,8.0,7.0,6.0,A religious person,7.0,Male,1980.0,39.0,Married,Full time
CAN,124075232,1.0,1.0,2.0,1.0,7.0,7.0,8.0,Not a religious person,7.0,Female,1997.0,22.0,Single,Full time
CAN,124075234,1.0,1.0,1.0,2.0,7.0,7.0,6.0,Not a religious person,5.0,Female,1977.0,43.0,Married,Full time
CAN,124075235,1.0,2.0,2.0,2.0,7.0,7.0,7.0,Not a religious person,7.0,Male,1971.0,49.0,Married,Full time
CAN,124075236,1.0,3.0,2.0,2.0,6.0,9.0,5.0,Not a religious person,3.0,Female,1975.0,45.0,Married,Full time
CAN,124075237,2.0,2.0,1.0,2.0,9.0,9.0,9.0,Not a religious person,3.0,Female,1948.0,72.0,Married,Retired/pensioned
CAN,124075238,1.0,3.0,3.0,2.0,8.0,9.0,9.0,Not a religious person,8.0,Male,1976.0,43.0,Living together as married,Full time
CAN,124075240,1.0,2.0,1.0,3.0,8.0,6.0,6.0,Not a religious person,5.0,Male,1963.0,57.0,Divorced,Full time
CAN,124075241,1.0,1.0,1.0,3.0,6.0,6.0,6.0,An atheist,5.0,Male,1980.0,40.0,Living together as married,Other
CAN,124075242,1.0,1.0,2.0,3.0,8.0,9.0,9.0,Not a religious person,3.0,Male,1957.0,62.0,Married,Retired/pensioned
CAN,124075243,1.0,1.0,1.0,1.0,5.0,2.0,3.0,Not a religious person,5.0,Female,1964.0,55.0,Married,Full time
